video_id,channel_Id,playlist_id,channelTitle,title,tags,duration,dimension,definition,projection,viewCount,likeCount,commentCount,publishdate,publishtime
fefpoRwvq2o,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Đón chú Cú Meow và màn phân tích hậu trận bóng giữa 500Bros vs Refund Gaming cùng anh em,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'xemesis', 'xemesis mixigaming', '500 bros', 'đội bóng refund', 'team refund vs 500bros', 'giao hữu bóng đá refund gaming', 'giao hữu team refund vs 500bros']",01:31:42,2d,hd,rectangular,833843,14948,111.0,2024-05-25,17:02:31
O4BBTrzOAfQ,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Mixi Funny Moment #20) Tổng hợp những tình huống vui vui trên stream của Độ Mixi.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'mixigaming funny moment', 'tổng hợp funny moment độ mixi', 'funny moment độ mixi', 'tổng hợp khoảnh khắc hài mixigaming', 'tổng hợp khoảnh khắc hài độ mixi', 'funny moment']",00:10:49,2d,hd,rectangular,547459,11404,196.0,2024-05-23,10:00:21
EO6mK5VLBjI,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Murders on the Yangtze River #5) Án mạng liên hoàn trên tàu Sơn Hà và những bí ẩn chưa lời giải đáp,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', 'PUBG VN', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Game Việt Hóa', 'Mixigaming Shorts', 'mixigaming', 'mixigaming stream', 'Murders on the Yangtze River', 'game phá án', 'game phá án pc', 'mixigaming game phá án', 'độ mixi game phá án', 'murders on the yangtze #5', 'murders on the yangtze độ mixi', 'mudders on the yangtze độ mixi mới nhất']",03:52:51,2d,hd,rectangular,840972,9871,517.0,2024-05-21,16:00:21
-j1mHrmdH0E,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Sea of Thieves 2024 #6) Vụ nổ lớn rung chuyển biển cả và chuyến đi bão táp cùng tàu Ngọc Trai Đen.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Goose Goose Duck Việt Nam', 'Game Việt Hóa', 'Ma Sói Việt Nam', 'Streamer Ma Sói', 'GTA V', 'Shorts', 'Mixigaming Shorts']",04:05:29,2d,hd,rectangular,954984,11607,614.0,2024-05-19,05:00:00
TVRStiwVRaM,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Buổi stream trả lời donate không ngớt trước tuần nghỉ dài và rủ rê ae căng buồm ra khơi.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'xemesis', 'xemesis mixigaming', 'tứ hoàng streamer', 'tứ hoàng', 'đi để trở về 2025', 'đi để trở về', 'đi để trở về mùa 8', 'đi để trở về mùa 9', 'tàu bắc nam', 'tàu thống nhất', 'pewpew', 'viruss', 'pew pew']",01:25:52,2d,hd,rectangular,823102,14873,107.0,2024-05-17,16:57:31
TMvuK4nwuMQ,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Sea of Thieves 2024 #5) Hải tặc Xemesis lộ diện, cùng băng Mixigay xung trận, xưng vương biển cả.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Goose Goose Duck Việt Nam', 'Game Việt Hóa', 'Ma Sói Việt Nam', 'Streamer Ma Sói', 'GTA V', 'Shorts', 'Mixigaming Shorts']",02:44:08,2d,hd,rectangular,908648,13110,391.0,2024-05-17,05:00:15
PXChscu473o,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Restream) Check cam văn phòng, tuyên dương nhân viên gương mẫu và lượn Group cùng ae kênh chat FA.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'xemesis', 'xemesis mixigaming', 'tứ hoàng streamer', 'tứ hoàng', 'đi để trở về 2025', 'đi để trở về', 'đi để trở về mùa 8', 'đi để trở về mùa 9', 'tàu bắc nam', 'tàu thống nhất', 'pewpew', 'viruss', 'pew pew']",01:28:57,2d,hd,rectangular,843942,15113,63.0,2024-05-16,16:57:44
BWSyh4BeIy8,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Feign #11) Sát thủ Độ Mixi phô diễn khả năng thôi miên lú như con cú, đưa cả làng đến bờ diệt vong.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Goose Goose Duck Việt Nam', 'Game Việt Hóa', 'Ma Sói Việt Nam', 'Streamer Ma Sói', 'GTA V', 'Shorts', 'Mixigaming Shorts']",01:23:33,2d,hd,rectangular,993609,13017,262.0,2024-05-16,10:00:12
Se4Y0ubxupU,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Ao làng PUBG) Caster Độ Mixi hết lòng ủng hộ tay súng Bu ngô và sự trở lại của ông vua giải ao làng,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Goose Goose Duck Việt Nam', 'Game Việt Hóa', 'Ma Sói Việt Nam', 'Streamer Ma Sói', 'GTA V', 'Shorts', 'Mixigaming Shorts', 'ao làng pubg', 'pubg mixigaming', 'ao làng pubg mixi', 'ao làng pubg mixi gaming']",00:28:54,2d,hd,rectangular,694149,11856,178.0,2024-05-16,05:00:21
R97--JS-n9g,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Ngày đầu đi xe thăng bằng cùng kèo bắn tàu siêu kinh điển với bạn thân Pewpew và Xemesis.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'xemesis', 'xemesis mixigaming', 'tứ hoàng streamer', 'tứ hoàng', 'đi để trở về 2025', 'đi để trở về', 'đi để trở về mùa 8', 'đi để trở về mùa 9', 'tàu bắc nam', 'tàu thống nhất', 'pewpew', 'viruss', 'pew pew']",01:25:55,2d,hd,rectangular,930173,15826,164.0,2024-05-15,16:55:36
